,url,text,stand,zuständig,geschäftsart,status
990,/gast/geschaefte/301,Zwischenbericht zu den per Ende März 2011 zur Berichterstattung fälligen parlamentarischen Vorstössen,Datenmigration,,Verschiedenes,abgeschlossen
991,/gast/geschaefte/300,Rechenschaftsbericht des Verwaltungsgerichts über die Jahre 2009 und 2010,Datenmigration,,Verschiedenes,abgeschlossen
992,/gast/geschaefte/299,Motion von Cornelia Stocker und Maja Dübendorfer Christen betreffend Änderung der Gebührenordnung des Kantons Zug,Datenmigration,,Motion,abgeschlossen
993,/gast/geschaefte/298,Motion von Pirmin Frei betreffend kein Zuger Dach ohne Sonnenenergie-Nutzung,Datenmigration,,Motion,abgeschlossen
994,/gast/geschaefte/297,Motion von Manuel Brandenberg und Thomas Wyss betreffend Einreichung einer Standesinitiative,Datenmigration,,Motion,abgeschlossen
995,/gast/geschaefte/296,Postulat von Daniel Abt und Beda Schlumpf betreffend Förderung von energietechnischen Gebäudeerneuerungen im Kanton Zug,Datenmigration,,Postulat,abgeschlossen
996,/gast/geschaefte/295,Interpellation von Kurt Balmer und Franz Hürlimann betreffend Verkehrsunfall auf der Autobahn N4,Datenmigration,,Interpellation,abgeschlossen
997,/gast/geschaefte/294,Postulat der Raumplanungskommission betreffend Überprüfung der Ausnützungsziffer bei der Umsetzung der Interkantonalen Vereinbarung über die Harmonisierung der Baubegriffe (IVHB) im Kanton Zug,Erledigterklärung,Baudirektion,Postulat,abgeschlossen
998,/gast/geschaefte/293,Kantonsratsbeschluss betreffend Objektkredit für den Bau und die Investitions-Folgekosten der S-Bahn-Haltestelle Steinhausen Rigiblick,Genehmigung Schlussabrechnung pendent,Volkswirtschaftsdirektion,Kantonsratsbeschluss (referendumsfähig),hängig
999,/gast/geschaefte/292,Neuordnung der Spitalplanung und -finanzierung (Änderung des Spitalgesetzes und des Einführungsgesetzes zum Bundesgesetz über die Krankenversicherung),Datenmigration,,Verschiedenes,abgeschlossen
1000,/gast/geschaefte/291,"Änderung des Gesetzes betreffend die Einführung des Schweizerischen Zivilgesetzbuches für den Kanton Zug vom 17. August 1911 (BGS 211.1) (Umsetzung der ZGB Revision vom 19.12.2008 [Erwachsenenschutz, Personenrecht und Kindesrecht] im Kanton ZG)",Datenmigration,,Gesetz,abgeschlossen
1001,/gast/geschaefte/290,Postulat der Alternativen Grünen Fraktion und der SP-Fraktion betreffend Ausstieg aus der Atomenergie jetzt!,Datenmigration,,Postulat,abgeschlossen
1002,/gast/geschaefte/289,Interpellation der SP-Fraktion betreffend Legislaturziel 31a: Anpassung Richtplan mit Zonen für preisgünstige Wohnungen,Datenmigration,,Interpellation,abgeschlossen
1003,/gast/geschaefte/288,Motion von Franz Hürlimann betreffend Änderung des Gesetzes betreffend die Einführung des Schweizerischen Zivilgesetzbuches für den Kanton Zug,Datenmigration,,Motion,abgeschlossen
1004,/gast/geschaefte/287,Motion von Irène Castell-Bachmann und Martin Pfister betreffend Änderung von § 40 der Geschäftsordnung zur Überweisung von Interpellationen,Nicht-Erheblicherklärung,Staatskanzlei,Motion,abgeschlossen
1005,/gast/geschaefte/286,Kantonsratsbeschluss betreffend Anpassung des kantonalen Richtplanes (Festsetzung des Standortes für den Neubau des Kunsthauses Zug),Datenmigration,,Kantonsratsbeschluss (nicht referendumsfähig),abgeschlossen
1006,/gast/geschaefte/285,Interpellation von Thomas Aeschi betreffend Illegale in Zug,Datenmigration,,Interpellation,abgeschlossen
1007,/gast/geschaefte/284,Interpellation von Thomas Aeschi betreffend E-Government,Datenmigration,,Interpellation,abgeschlossen
1008,/gast/geschaefte/283,Interpellation von Anna Bieri und Frowin Betschart betreffend Stand des Beitritts des Kantons Zug zur Interkantonalen Vereinbarung über die Harmonisierung von Ausbildungsbeiträgen (Stipendienkonkordat) vom 18.06.2009,Datenmigration,,Interpellation,abgeschlossen
1009,/gast/geschaefte/282,Motion von Beni Riedi betreffend Standesinitiative für die Änderung des Bundesgesetzes über Radio und Fernsehen (Freiheit der Nutzerinnen und Nutzer in der Wahl des Empfangsgerätes für die digitalen Fernsehprogramme),Datenmigration,,Motion,abgeschlossen
1010,/gast/geschaefte/281,Finanzstrategie 2012 - 2020 des Kantons Zug,Datenmigration,,Verschiedenes,abgeschlossen
1011,/gast/geschaefte/280,Änderung des G betr. die Einführung des Schweiz. Zivilgesetzbuches für den Kanton Zug vom 17.08.1911 - Umsetzung der Revision des Sachenrechts im Schweiz. Zivilgesetzbuch vom 11.12.2009 (Register-Schuldbrief und weitere Änderungen im Sachenrecht),Datenmigration,,Gesetz,abgeschlossen
1012,/gast/geschaefte/279,Kantonsratsbeschluss betreffend Freigabe eines Objektkredites für die Planung und den Bau der Umfahrung Cham-Hünenberg sowie für den Landerwerb,Genehmigung Schlussabrechnung pendent,Baudirektion,Kantonsratsbeschluss (nicht referendumsfähig),hängig
1013,/gast/geschaefte/278,Interpellation der Fraktion Alternative - Die Grünen betreffend private Sicherheits- und Militärfirmen im Kanton Zug,Datenmigration,,Interpellation,abgeschlossen
1014,/gast/geschaefte/277,"Interpellation von Beat Sieber, Daniel Thomas Burch, Barbara Strub, Dominik Lehner, Monika Weber und Thomas Lötscher betreffend den Plänen des Universitätsrates Luzern, an der Universität eine Wirtschaftsfakultät einzurichten",Datenmigration,,Interpellation,abgeschlossen
1015,/gast/geschaefte/276,Interpellation von Kurt Balmer betreffend Schwarzfahren,Datenmigration,,Interpellation,abgeschlossen
1016,/gast/geschaefte/275,Änderung des Polizeigesetzes (Rechtsgrundlagen für die polizeiliche verdeckte Vorermittlung),Datenmigration,,Gesetz,abgeschlossen
1017,/gast/geschaefte/274,Kantonsratsbeschluss zum Austritt des Kantons Zug aus dem Konkordat über die Pädagogische Hochschule Zentralschweiz vom 15. Dezember 2000 (PHZ-Konkordat),Datenmigration,,Kantonsratsbeschluss (nicht referendumsfähig),abgeschlossen
1018,/gast/geschaefte/273,"KRB betreffend Freigabe eines Objektkredites für das Projekt Sanierung und Ausbau der Hauptstr. (KS 381), Abschnitt Knoten Alte Landstr./Lutisbachweg bis Knoten Mitteldorfstr. einschliesslich bergseitigem Rad-/Fussweg, Gemeinde Oberägeri",Datenmigration,,Kantonsratsbeschluss (nicht referendumsfähig),abgeschlossen
1019,/gast/geschaefte/272,Interpellation von Georg Helfenstein betreffend Informatiksysteme der Kantonalen Verwaltung,Datenmigration,,Interpellation,abgeschlossen
1020,/gast/geschaefte/271,"Interpellation von Karl Nussbaumer, Thomas Wyss und Manuel Brandenberg betreffend Vorfall beim Bahnhof Zug",Datenmigration,,Interpellation,abgeschlossen
1021,/gast/geschaefte/270,"Kleine Anfrage der Fraktion Alternative - Die Grünen betreffend Haltung der Zuger Regierungsratsmitglieder im Zusammenhang mit der Initiative ""Schutz vor Waffengewalt""",Datenmigration,,Kleine Anfrage,abgeschlossen
1022,/gast/geschaefte/269,"Kantonsratsbeschluss betreffend Anpassungen des kantonalen Richtplanes (in den Kapiteln L 4, V 2/3, V 9, V 10 und V 12)",Datenmigration,,Kantonsratsbeschluss (nicht referendumsfähig),abgeschlossen
1023,/gast/geschaefte/268,"Interpellation von Hans Christen, Zari Dzaferi, Heini Schmid, Daniel Stadlin, Martin Stuber und Werner Villiger betreffend ""Wie weiter mit der durchgehenden Doppelspur zwischen Thalwil und Zug?""",Datenmigration,,Interpellation,abgeschlossen
